icon[0], coordinate [x: 2434, y: 67]
icon[1], coordinate [x: 2234, y: 68]
icon[2], coordinate [x: 2456, y: 490]
icon[3], coordinate [x: 368, y: 1817]
icon[4], coordinate [x: 291, y: 1817]
icon[5], coordinate [x: 2722, y: 963]
icon[6], coordinate [x: 1285, y: 1817]
icon[7], coordinate [x: 1209, y: 1818]
icon[8], coordinate [x: 218, y: 1818]
icon[9], coordinate [x: 2448, y: 282]
icon[10], coordinate [x: 64, y: 1818]
icon[11], coordinate [x: 142, y: 1818]
icon[12], coordinate [x: 1130, y: 1818]
icon[13], coordinate [x: 1360, y: 1817]
icon[14], coordinate [x: 1766, y: 103]
icon[15], coordinate [x: 1436, y: 1816]
icon[16], coordinate [x: 1056, y: 1818]
icon[17], coordinate [x: 2232, y: 1816]
icon[18], coordinate [x: 982, y: 1818]
icon[19], coordinate [x: 446, y: 1817]
icon[20], coordinate [x: 2311, y: 1815]
icon[21], coordinate [x: 1666, y: 1818]
icon[22], coordinate [x: 1743, y: 1818]
icon[23], coordinate [x: 904, y: 1819]
icon[24], coordinate [x: 2686, y: 280]
icon[25], coordinate [x: 2655, y: 1807]
icon[26], coordinate [x: 2405, y: 2]
icon[27], coordinate [x: 596, y: 1819]
icon[28], coordinate [x: 2126, y: 1816]
icon[29], coordinate [x: 830, y: 1818]
icon[30], coordinate [x: 2386, y: 1814]
icon[31], coordinate [x: 749, y: 1815]
icon[32], coordinate [x: 675, y: 1818]
icon[33], coordinate [x: 2114, y: 3]
icon[34], coordinate [x: 1591, y: 1814]
icon[35], coordinate [x: 525, y: 1815]
icon[36], coordinate [x: 1819, y: 1818]
icon[37], coordinate [x: 2186, y: 3]
icon[38], coordinate [x: 1517, y: 1815]
icon[39], coordinate [x: 2726, y: 1810]
icon[40], coordinate [x: 2805, y: 1805]
icon[41], coordinate [x: 2570, y: 1811]
icon[42], coordinate [x: 2050, y: 1817]
icon[43], coordinate [x: 2327, y: 5]
icon[44], coordinate [x: 2488, y: 1808]
icon[45], coordinate [x: 1896, y: 1817]
icon[46], coordinate [x: 2254, y: 2]
icon[47], coordinate [x: 2455, y: 729]
icon[48], coordinate [x: 1974, y: 1818]
icon[49], coordinate [x: 2478, y: 1]
icon[50], coordinate [x: 342, y: 619]
icon[51], coordinate [x: 2733, y: 740]
icon[52], coordinate [x: 823, y: 12]
icon[53], coordinate [x: 2552, y: 8]
icon[54], coordinate [x: 32, y: 3]
icon[55], coordinate [x: 2612, y: 3]
icon[56], coordinate [x: 2733, y: 69]
icon[57], coordinate [x: 405, y: 11]
icon[58], coordinate [x: 967, y: 13]
icon[59], coordinate [x: 219, y: 1]
icon[60], coordinate [x: 560, y: 14]
icon[61], coordinate [x: 735, y: 11]
icon[62], coordinate [x: 307, y: 0]
icon[63], coordinate [x: 102, y: 10]
icon[64], coordinate [x: 657, y: 2]
icon[65], coordinate [x: 1105, y: 0]
